  
       XFOIL         Version 6.99
  
 Calculated polar for: E168  (12.45%)                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.100 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.9854   0.03444   0.02640  -0.0198   1.0000   0.0733
  -9.750  -0.9692   0.03264   0.02453  -0.0186   1.0000   0.0790
  -9.500  -0.9534   0.03067   0.02249  -0.0174   1.0000   0.0864
  -9.250  -0.9376   0.02906   0.02069  -0.0158   1.0000   0.0957
  -9.000  -0.9212   0.02733   0.01906  -0.0145   1.0000   0.1076
  -8.750  -0.9062   0.02576   0.01757  -0.0130   1.0000   0.1235
  -8.500  -0.8912   0.02446   0.01643  -0.0114   1.0000   0.1429
  -8.250  -0.8755   0.02334   0.01534  -0.0099   1.0000   0.1667
  -8.000  -0.8589   0.02252   0.01455  -0.0084   1.0000   0.1932
  -7.750  -0.8413   0.02194   0.01398  -0.0069   1.0000   0.2194
  -7.500  -0.8220   0.02147   0.01361  -0.0056   1.0000   0.2430
  -7.250  -0.8021   0.02104   0.01312  -0.0043   1.0000   0.2660
  -7.000  -0.7807   0.02069   0.01280  -0.0031   1.0000   0.2861
  -6.750  -0.7593   0.02032   0.01237  -0.0019   1.0000   0.3058
  -6.500  -0.7375   0.01997   0.01197  -0.0007   1.0000   0.3242
  -6.250  -0.7147   0.01964   0.01168   0.0003   1.0000   0.3410
  -6.000  -0.6919   0.01932   0.01137   0.0014   1.0000   0.3575
  -5.750  -0.6692   0.01898   0.01103   0.0025   1.0000   0.3737
  -5.500  -0.6464   0.01865   0.01069   0.0035   1.0000   0.3894
  -5.250  -0.6236   0.01830   0.01035   0.0046   1.0000   0.4048
  -5.000  -0.6009   0.01796   0.01001   0.0057   1.0000   0.4200
  -4.750  -0.5783   0.01762   0.00967   0.0067   1.0000   0.4350
  -4.500  -0.5558   0.01728   0.00935   0.0078   1.0000   0.4499
  -4.250  -0.5335   0.01696   0.00905   0.0089   1.0000   0.4648
