  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0000   0.00541   0.00114  -0.0000   0.6870   0.6869
   0.100   0.0107   0.00540   0.00114   0.0001   0.6763   0.6970
   0.300   0.0322   0.00542   0.00115   0.0004   0.6560   0.7175
   0.400   0.0431   0.00541   0.00116   0.0005   0.6457   0.7272
   0.500   0.0538   0.00543   0.00116   0.0007   0.6356   0.7373
   0.600   0.0645   0.00543   0.00117   0.0008   0.6247   0.7467
   0.700   0.0754   0.00545   0.00118   0.0009   0.6143   0.7567
   0.800   0.0860   0.00546   0.00119   0.0011   0.6040   0.7660
   0.900   0.0968   0.00548   0.00120   0.0012   0.5927   0.7752
   1.000   0.1075   0.00549   0.00122   0.0014   0.5825   0.7847
   1.100   0.1182   0.00552   0.00123   0.0015   0.5720   0.7935
   1.200   0.1290   0.00554   0.00125   0.0017   0.5606   0.8026
   1.300   0.1397   0.00556   0.00127   0.0018   0.5501   0.8114
   1.400   0.1504   0.00559   0.00129   0.0020   0.5395   0.8201
   1.500   0.1611   0.00562   0.00131   0.0021   0.5287   0.8283
   1.600   0.1718   0.00565   0.00133   0.0023   0.5182   0.8368
   1.700   0.1825   0.00569   0.00135   0.0025   0.5072   0.8446
   1.800   0.1932   0.00572   0.00138   0.0026   0.4961   0.8525
   1.900   0.2039   0.00577   0.00141   0.0028   0.4853   0.8600
   2.000   0.2144   0.00581   0.00144   0.0030   0.4742   0.8675
   2.200   0.2357   0.00590   0.00150   0.0033   0.4527   0.8813
   2.300   0.2464   0.00596   0.00153   0.0035   0.4414   0.8884
   2.400   0.2570   0.00601   0.00156   0.0036   0.4304   0.8944
   2.500   0.2675   0.00607   0.00160   0.0038   0.4193   0.9008
   2.600   0.2781   0.00613   0.00164   0.0040   0.4081   0.9071
   2.700   0.2886   0.00619   0.00168   0.0042   0.3973   0.9125
   2.800   0.2991   0.00626   0.00172   0.0044   0.3865   0.9183
   2.900   0.3095   0.00633   0.00176   0.0046   0.3750   0.9238
   3.000   0.3202   0.00640   0.00180   0.0048   0.3642   0.9284
   3.100   0.3306   0.00648   0.00185   0.0050   0.3529   0.9335
   3.200   0.3409   0.00656   0.00189   0.0052   0.3418   0.9386
   3.300   0.3517   0.00663   0.00194   0.0054   0.3309   0.9427
   3.400   0.3625   0.00672   0.00199   0.0055   0.3199   0.9467
   3.500   0.3730   0.00681   0.00204   0.0057   0.3086   0.9511
   3.700   0.3947   0.00699   0.00214   0.0059   0.2867   0.9584
   3.900   0.4174   0.00718   0.00226   0.0058   0.2643   0.9648
   4.000   0.4277   0.00728   0.00232   0.0061   0.2538   0.9687
   4.100   0.4395   0.00740   0.00238   0.0059   0.2423   0.9712
   4.200   0.4524   0.00751   0.00244   0.0055   0.2307   0.9729
   4.300   0.4652   0.00762   0.00251   0.0052   0.2199   0.9748
   4.400   0.4779   0.00774   0.00258   0.0048   0.2090   0.9768
   4.500   0.4903   0.00786   0.00265   0.0045   0.1981   0.9789
   4.600   0.5022   0.00797   0.00273   0.0044   0.1885   0.9813
   4.700   0.5143   0.00810   0.00280   0.0041   0.1783   0.9832
   4.800   0.5284   0.00822   0.00288   0.0034   0.1677   0.9839
   4.900   0.5429   0.00834   0.00296   0.0027   0.1584   0.9846
   5.000   0.5571   0.00848   0.00305   0.0019   0.1486   0.9853
   5.100   0.5714   0.00861   0.00313   0.0012   0.1394   0.9860
   5.200   0.5855   0.00873   0.00321   0.0005   0.1312   0.9868
   5.300   0.5993   0.00887   0.00331  -0.0001   0.1228   0.9877
   5.400   0.6133   0.00898   0.00339  -0.0008   0.1163   0.9887
   5.500   0.6267   0.00912   0.00348  -0.0014   0.1087   0.9897
   5.600   0.6403   0.00923   0.00357  -0.0019   0.1029   0.9908
   5.700   0.6535   0.00938   0.00367  -0.0024   0.0962   0.9919
   5.800   0.6666   0.00948   0.00376  -0.0029   0.0913   0.9930
   5.900   0.6798   0.00961   0.00386  -0.0034   0.0861   0.9939
   6.000   0.6939   0.00974   0.00395  -0.0041   0.0812   0.9944
   6.100   0.7081   0.00985   0.00405  -0.0048   0.0770   0.9950
   6.200   0.7219   0.01000   0.00416  -0.0054   0.0720   0.9956
   6.300   0.7359   0.01010   0.00425  -0.0061   0.0690   0.9962
   6.400   0.7497   0.01022   0.00435  -0.0067   0.0655   0.9969
   6.500   0.7633   0.01038   0.00447  -0.0073   0.0615   0.9976
   6.600   0.7773   0.01047   0.00457  -0.0080   0.0596   0.9982
   6.700   0.7910   0.01059   0.00467  -0.0086   0.0571   0.9989
   6.800   0.8045   0.01074   0.00480  -0.0092   0.0543   0.9995
   6.900   0.8181   0.01087   0.00492  -0.0098   0.0520   1.0000
   7.000   0.8267   0.01095   0.00500  -0.0093   0.0506   1.0000
   7.100   0.8352   0.01105   0.00509  -0.0088   0.0490   1.0000
   7.200   0.8435   0.01117   0.00520  -0.0083   0.0474   1.0000
   7.300   0.8515   0.01132   0.00534  -0.0077   0.0454   1.0000
   7.400   0.8600   0.01142   0.00544  -0.0072   0.0444   1.0000
