  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =    10.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0000   0.00509   0.00065  -0.0000   0.3418   0.3418
   0.100   0.0114   0.00506   0.00065  -0.0000   0.3356   0.3530
   0.200   0.0228   0.00509   0.00066  -0.0001   0.3257   0.3570
   0.300   0.0342   0.00507   0.00065  -0.0001   0.3196   0.3676
   0.400   0.0455   0.00509   0.00066  -0.0001   0.3101   0.3750
   0.500   0.0569   0.00508   0.00066  -0.0002   0.3043   0.3840
   0.600   0.0684   0.00510   0.00066  -0.0002   0.2967   0.3889
   0.700   0.0797   0.00510   0.00067  -0.0002   0.2877   0.3975
   0.800   0.0911   0.00512   0.00068  -0.0002   0.2793   0.4048
   0.900   0.1024   0.00513   0.00068  -0.0003   0.2715   0.4133
   1.000   0.1138   0.00514   0.00069  -0.0003   0.2629   0.4210
   1.100   0.1252   0.00514   0.00070  -0.0003   0.2569   0.4309
   1.200   0.1365   0.00515   0.00071  -0.0004   0.2497   0.4380
   1.300   0.1479   0.00516   0.00072  -0.0004   0.2421   0.4466
   1.400   0.1593   0.00518   0.00073  -0.0004   0.2345   0.4539
   1.500   0.1706   0.00520   0.00074  -0.0004   0.2259   0.4622
   1.600   0.1819   0.00522   0.00076  -0.0005   0.2185   0.4689
   1.700   0.1934   0.00524   0.00077  -0.0005   0.2105   0.4756
   1.800   0.2047   0.00525   0.00078  -0.0005   0.2050   0.4852
   1.900   0.2160   0.00528   0.00080  -0.0005   0.1961   0.4927
   2.000   0.2274   0.00528   0.00081  -0.0006   0.1911   0.5021
   2.100   0.2386   0.00532   0.00084  -0.0006   0.1814   0.5089
   2.200   0.2501   0.00532   0.00085  -0.0006   0.1771   0.5174
   2.300   0.2615   0.00535   0.00087  -0.0006   0.1723   0.5237
   2.400   0.2727   0.00537   0.00089  -0.0007   0.1638   0.5338
   2.500   0.2841   0.00540   0.00091  -0.0007   0.1585   0.5390
   2.600   0.2953   0.00542   0.00093  -0.0007   0.1497   0.5490
   2.700   0.3067   0.00545   0.00095  -0.0007   0.1453   0.5551
   2.800   0.3179   0.00548   0.00098  -0.0007   0.1373   0.5651
   2.900   0.3294   0.00549   0.00100  -0.0008   0.1338   0.5720
   3.000   0.3406   0.00552   0.00102  -0.0008   0.1283   0.5821
   3.200   0.3632   0.00556   0.00108  -0.0008   0.1174   0.5989
   3.300   0.3745   0.00561   0.00111  -0.0008   0.1119   0.6052
   3.400   0.3858   0.00563   0.00113  -0.0008   0.1063   0.6141
   3.500   0.3971   0.00566   0.00116  -0.0008   0.1023   0.6217
   3.600   0.4083   0.00570   0.00119  -0.0008   0.0961   0.6301
   3.700   0.4196   0.00571   0.00122  -0.0009   0.0933   0.6384
   3.800   0.4309   0.00573   0.00125  -0.0009   0.0904   0.6470
   3.900   0.4421   0.00578   0.00128  -0.0009   0.0847   0.6549
   4.000   0.4534   0.00579   0.00131  -0.0009   0.0817   0.6642
   4.100   0.4648   0.00582   0.00134  -0.0009   0.0790   0.6716
   4.200   0.4759   0.00586   0.00138  -0.0009   0.0744   0.6813
   4.300   0.4872   0.00589   0.00141  -0.0009   0.0709   0.6889
   4.400   0.4985   0.00591   0.00144  -0.0009   0.0692   0.6980
   4.500   0.5097   0.00595   0.00148  -0.0009   0.0661   0.7057
   4.600   0.5209   0.00598   0.00152  -0.0009   0.0617   0.7150
   4.700   0.5322   0.00601   0.00156  -0.0009   0.0601   0.7226
   4.800   0.5434   0.00604   0.00160  -0.0009   0.0579   0.7309
   4.900   0.5546   0.00608   0.00164  -0.0009   0.0550   0.7391
   5.000   0.5658   0.00611   0.00167  -0.0009   0.0525   0.7483
   5.100   0.5771   0.00613   0.00171  -0.0009   0.0515   0.7555
   5.200   0.5883   0.00616   0.00175  -0.0009   0.0499   0.7649
   5.300   0.5994   0.00622   0.00180  -0.0009   0.0466   0.7723
   5.400   0.6106   0.00624   0.00184  -0.0009   0.0447   0.7817
   5.500   0.6219   0.00627   0.00188  -0.0009   0.0438   0.7888
   5.600   0.6330   0.00630   0.00192  -0.0009   0.0422   0.7976
   5.700   0.6441   0.00635   0.00197  -0.0009   0.0406   0.8052
   5.800   0.6553   0.00638   0.00201  -0.0009   0.0384   0.8129
   5.900   0.6665   0.00641   0.00205  -0.0009   0.0379   0.8214
   6.000   0.6777   0.00644   0.00210  -0.0009   0.0371   0.8288
   6.100   0.6888   0.00648   0.00215  -0.0008   0.0359   0.8367
   6.200   0.6998   0.00654   0.00220  -0.0008   0.0339   0.8426
   6.300   0.7109   0.00657   0.00225  -0.0008   0.0326   0.8514
   6.400   0.7221   0.00661   0.00229  -0.0008   0.0321   0.8572
   6.500   0.7332   0.00664   0.00234  -0.0007   0.0313   0.8653
   6.600   0.7442   0.00669   0.00239  -0.0007   0.0303   0.8720
   6.700   0.7552   0.00674   0.00245  -0.0007   0.0291   0.8781
   6.800   0.7662   0.00678   0.00250  -0.0006   0.0278   0.8853
   6.900   0.7773   0.00682   0.00255  -0.0006   0.0275   0.8905
   7.000   0.7884   0.00686   0.00260  -0.0006   0.0271   0.8972
   7.100   0.7993   0.00690   0.00265  -0.0005   0.0265   0.9036
   7.300   0.8211   0.00701   0.00277  -0.0004   0.0248   0.9145
   7.400   0.8320   0.00707   0.00283  -0.0003   0.0236   0.9201
   7.500   0.8431   0.00712   0.00288  -0.0003   0.0233   0.9239
   7.600   0.8539   0.00716   0.00294  -0.0002   0.0231   0.9296
   7.700   0.8647   0.00721   0.00300  -0.0001   0.0225   0.9349
   7.800   0.8756   0.00727   0.00306  -0.0001   0.0219   0.9387
   7.900   0.8864   0.00734   0.00312  -0.0000   0.0213   0.9424
   8.000   0.8969   0.00740   0.00319   0.0001   0.0205   0.9476
   8.100   0.9076   0.00746   0.00325   0.0002   0.0198   0.9519
   8.200   0.9185   0.00751   0.00331   0.0003   0.0196   0.9548
   8.300   0.9292   0.00757   0.00337   0.0004   0.0194   0.9584
   8.400   0.9397   0.00762   0.00343   0.0006   0.0192   0.9626
   8.500   0.9502   0.00768   0.00349   0.0007   0.0189   0.9660
   8.600   0.9610   0.00775   0.00356   0.0008   0.0184   0.9687
   8.700   0.9716   0.00782   0.00363   0.0009   0.0180   0.9711
   8.800   0.9817   0.00789   0.00370   0.0011   0.0175   0.9747
   8.900   0.9919   0.00797   0.00377   0.0013   0.0169   0.9778
   9.000   1.0024   0.00804   0.00384   0.0014   0.0164   0.9804
   9.100   1.0130   0.00810   0.00390   0.0015   0.0163   0.9823
   9.200   1.0238   0.00817   0.00397   0.0016   0.0162   0.9843
   9.300   1.0347   0.00823   0.00403   0.0016   0.0160   0.9866
   9.400   1.0457   0.00830   0.00410   0.0017   0.0158   0.9886
   9.500   1.0565   0.00838   0.00417   0.0017   0.0155   0.9905
   9.600   1.0672   0.00846   0.00425   0.0018   0.0152   0.9921
   9.700   1.0774   0.00855   0.00433   0.0019   0.0149   0.9936
   9.900   1.1014   0.00874   0.00451   0.0015   0.0140   0.9950
  10.000   1.1134   0.00883   0.00459   0.0012   0.0135   0.9955
