  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =   100.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0001   0.00478   0.00067  -0.0000   0.1208   0.1202
   0.100   0.0117   0.00478   0.00068  -0.0001   0.1193   0.1240
   0.200   0.0233   0.00480   0.00068  -0.0001   0.1123   0.1294
   0.300   0.0349   0.00478   0.00068  -0.0002   0.1084   0.1339
   0.400   0.0466   0.00478   0.00067  -0.0003   0.1072   0.1352
   0.600   0.0699   0.00480   0.00069  -0.0004   0.1015   0.1431
   0.700   0.0815   0.00480   0.00069  -0.0005   0.0983   0.1474
   0.800   0.0932   0.00480   0.00069  -0.0005   0.0939   0.1490
   0.900   0.1049   0.00480   0.00069  -0.0006   0.0932   0.1512
   1.000   0.1165   0.00483   0.00071  -0.0007   0.0884   0.1539
   1.100   0.1281   0.00482   0.00071  -0.0007   0.0857   0.1611
   1.200   0.1398   0.00482   0.00071  -0.0008   0.0822   0.1644
   1.300   0.1514   0.00482   0.00071  -0.0009   0.0815   0.1695
   1.400   0.1631   0.00483   0.00072  -0.0009   0.0797   0.1741
   1.500   0.1747   0.00484   0.00073  -0.0010   0.0770   0.1765
   1.600   0.1863   0.00484   0.00073  -0.0011   0.0740   0.1798
   1.900   0.2211   0.00487   0.00076  -0.0012   0.0635   0.1944
   2.000   0.2328   0.00488   0.00077  -0.0013   0.0616   0.1953
   2.100   0.2445   0.00489   0.00078  -0.0014   0.0608   0.1989
   2.200   0.2561   0.00489   0.00078  -0.0014   0.0594   0.2075
   2.400   0.2793   0.00492   0.00081  -0.0016   0.0554   0.2121
   2.500   0.2910   0.00493   0.00082  -0.0016   0.0526   0.2142
   2.800   0.3258   0.00496   0.00086  -0.0018   0.0495   0.2279
   2.900   0.3374   0.00498   0.00087  -0.0019   0.0456   0.2322
   3.000   0.3491   0.00499   0.00088  -0.0020   0.0446   0.2368
   3.200   0.3722   0.00502   0.00092  -0.0021   0.0406   0.2429
   3.300   0.3838   0.00504   0.00093  -0.0021   0.0399   0.2484
   3.400   0.3955   0.00504   0.00094  -0.0022   0.0383   0.2529
   3.500   0.4071   0.00505   0.00095  -0.0023   0.0381   0.2560
   3.600   0.4186   0.00507   0.00097  -0.0023   0.0369   0.2596
   3.700   0.4302   0.00509   0.00099  -0.0024   0.0358   0.2647
   3.800   0.4417   0.00509   0.00101  -0.0024   0.0343   0.2731
   3.900   0.4534   0.00512   0.00102  -0.0025   0.0324   0.2741
   4.000   0.4650   0.00513   0.00104  -0.0026   0.0323   0.2755
   4.100   0.4766   0.00515   0.00106  -0.0026   0.0316   0.2827
   4.200   0.4880   0.00517   0.00108  -0.0026   0.0295   0.2889
   4.300   0.4996   0.00519   0.00110  -0.0027   0.0285   0.2901
   4.400   0.5112   0.00521   0.00112  -0.0028   0.0276   0.2956
   4.500   0.5228   0.00522   0.00113  -0.0028   0.0276   0.2997
   4.600   0.5343   0.00526   0.00116  -0.0029   0.0258   0.3012
   4.700   0.5458   0.00527   0.00118  -0.0029   0.0256   0.3062
   4.800   0.5574   0.00529   0.00121  -0.0030   0.0249   0.3088
   4.900   0.5689   0.00531   0.00122  -0.0030   0.0234   0.3163
   5.000   0.5805   0.00532   0.00124  -0.0031   0.0233   0.3209
   5.100   0.5920   0.00534   0.00126  -0.0032   0.0231   0.3226
   5.200   0.6035   0.00537   0.00129  -0.0032   0.0224   0.3241
   5.300   0.6150   0.00539   0.00132  -0.0032   0.0216   0.3333
   5.400   0.6265   0.00541   0.00134  -0.0033   0.0208   0.3375
   5.500   0.6380   0.00544   0.00136  -0.0033   0.0196   0.3394
   5.600   0.6496   0.00546   0.00139  -0.0034   0.0195   0.3433
   5.700   0.6611   0.00548   0.00141  -0.0035   0.0195   0.3495
   5.800   0.6725   0.00551   0.00144  -0.0035   0.0186   0.3541
   5.900   0.6840   0.00553   0.00146  -0.0035   0.0186   0.3559
   6.000   0.6954   0.00557   0.00150  -0.0036   0.0175   0.3596
   6.100   0.7069   0.00559   0.00153  -0.0036   0.0168   0.3656
   6.300   0.7298   0.00564   0.00157  -0.0037   0.0163   0.3720
   6.400   0.7413   0.00566   0.00160  -0.0038   0.0162   0.3778
   6.500   0.7528   0.00568   0.00163  -0.0038   0.0161   0.3847
   6.600   0.7642   0.00571   0.00166  -0.0038   0.0158   0.3873
   6.700   0.7756   0.00575   0.00169  -0.0039   0.0154   0.3888
   6.800   0.7869   0.00579   0.00173  -0.0039   0.0148   0.3938
   6.900   0.7983   0.00581   0.00176  -0.0039   0.0143   0.4003
   7.000   0.8097   0.00584   0.00179  -0.0040   0.0139   0.4038
   7.100   0.8212   0.00587   0.00182  -0.0040   0.0134   0.4054
   7.200   0.8326   0.00590   0.00186  -0.0041   0.0133   0.4113
   7.300   0.8440   0.00593   0.00189  -0.0041   0.0132   0.4148
   7.500   0.8666   0.00600   0.00196  -0.0042   0.0127   0.4223
   7.600   0.8780   0.00604   0.00200  -0.0042   0.0124   0.4271
   7.700   0.8892   0.00607   0.00204  -0.0042   0.0121   0.4347
