  
       XFOIL         Version 6.99
  
 Calculated polar for: airfoil_data\NACA 0012\NACA0012.dat             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0000   0.02078   0.01099   0.0000   1.0000   1.0000
   0.250  -0.0128   0.02083   0.01103   0.0049   1.0000   1.0000
   0.500  -0.0225   0.02100   0.01117   0.0092   1.0000   1.0000
   0.750  -0.0275   0.02128   0.01141   0.0127   1.0000   1.0000
   1.000  -0.0285   0.02168   0.01177   0.0155   1.0000   1.0000
   1.250  -0.0255   0.02219   0.01225   0.0174   1.0000   1.0000
   1.500   0.0223   0.02312   0.01322   0.0113   0.9864   1.0000
   1.750   0.1035   0.02406   0.01430  -0.0002   0.9592   1.0000
   2.000   0.1828   0.02463   0.01505  -0.0106   0.9296   1.0000
   2.250   0.2691   0.02476   0.01543  -0.0213   0.8987   1.0000
   2.500   0.3497   0.02437   0.01531  -0.0297   0.8657   1.0000
   2.750   0.4082   0.02383   0.01495  -0.0333   0.8310   1.0000
   3.000   0.4487   0.02335   0.01459  -0.0333   0.7956   1.0000
   3.250   0.4786   0.02301   0.01428  -0.0312   0.7599   1.0000
   3.500   0.5033   0.02277   0.01404  -0.0283   0.7239   1.0000
   3.750   0.5230   0.02280   0.01403  -0.0250   0.6849   1.0000
   4.000   0.5428   0.02286   0.01401  -0.0218   0.6453   1.0000
   4.250   0.5635   0.02294   0.01392  -0.0185   0.6058   1.0000
   4.500   0.5814   0.02329   0.01418  -0.0155   0.5621   1.0000
   4.750   0.6006   0.02365   0.01432  -0.0126   0.5193   1.0000
   5.000   0.6189   0.02416   0.01463  -0.0098   0.4746   1.0000
   5.250   0.6367   0.02484   0.01514  -0.0072   0.4299   1.0000
   5.500   0.6555   0.02560   0.01558  -0.0048   0.3882   1.0000
   5.750   0.6727   0.02660   0.01646  -0.0025   0.3478   1.0000
   6.000   0.6913   0.02770   0.01737  -0.0004   0.3129   1.0000
   6.250   0.7102   0.02898   0.01855   0.0014   0.2830   1.0000
   6.500   0.7309   0.03031   0.01963   0.0030   0.2582   1.0000
   6.750   0.7489   0.03192   0.02138   0.0047   0.2367   1.0000
   7.000   0.7681   0.03363   0.02316   0.0062   0.2192   1.0000
   7.250   0.7867   0.03551   0.02515   0.0077   0.2047   1.0000
   7.500   0.8057   0.03754   0.02722   0.0090   0.1927   1.0000
   7.750   0.8240   0.03958   0.02938   0.0104   0.1821   1.0000
   8.000   0.8349   0.04251   0.03277   0.0123   0.1748   1.0000
   8.250   0.8535   0.04468   0.03496   0.0135   0.1666   1.0000
   8.500   0.8596   0.04826   0.03897   0.0154   0.1625   1.0000
   8.750   0.8584   0.05224   0.04349   0.0175   0.1593   1.0000
   9.000   0.8564   0.05623   0.04784   0.0193   0.1563   1.0000
   9.250   0.8510   0.06058   0.05248   0.0207   0.1546   1.0000
   9.500   0.8222   0.06698   0.05925   0.0215   0.1569   1.0000
   9.750   0.7873   0.07384   0.06628   0.0211   0.1602   1.0000
  10.000   0.7620   0.08030   0.07277   0.0199   0.1627   1.0000
